Name Of Genre,Id,Enter Formula
Action,,", new() {Id=""1"",Name=""Action"",Description=""Action""}"
Adventure,,", new() {Id=""2"",Name=""Adventure"",Description=""Adventure""}"
Comedy,3,", new() {Id=""3"",Name=""Comedy"",Description=""Comedy""}"
Drama,4,", new() {Id=""4"",Name=""Drama"",Description=""Drama""}"
Slice of Life,5,", new() {Id=""5"",Name=""Slice of Life"",Description=""Slice of Life""}"
Fantasy,6,", new() {Id=""6"",Name=""Fantasy"",Description=""Fantasy""}"
Magic,7,", new() {Id=""7"",Name=""Magic"",Description=""Magic""}"
Supernatural,8,", new() {Id=""8"",Name=""Supernatural"",Description=""Supernatural""}"
Horror,9,", new() {Id=""9"",Name=""Horror"",Description=""Horror""}"
Mystery,10,", new() {Id=""10"",Name=""Mystery"",Description=""Mystery""}"
Psychological,11,", new() {Id=""11"",Name=""Psychological"",Description=""Psychological""}"
Romance,12,", new() {Id=""12"",Name=""Romance"",Description=""Romance""}"
Sci-Fi,13,", new() {Id=""12"",Name=""Sci-Fi"",Description=""Sci-Fi""}"
Cyberpunk,14,", new() {Id=""12"",Name=""Cyberpunk"",Description=""Cyberpunk""}"
Game,15,", new() {Id=""12"",Name=""Game"",Description=""Game""}"
Ecchi,16,", new() {Id=""12"",Name=""Ecchi"",Description=""Ecchi""}"
Demons,17,", new() {Id=""12"",Name=""Demons"",Description=""Demons""}"
Harem,18,", new() {Id=""12"",Name=""Harem"",Description=""Harem""}"
Josei,19,", new() {Id=""12"",Name=""Josei"",Description=""Josei""}"
Martial Arts,20,", new() {Id=""12"",Name=""Martial Arts"",Description=""Martial Arts""}"
Kids,21,", new() {Id=""12"",Name=""Kids"",Description=""Kids""}"
Historical,22,", new() {Id=""12"",Name=""Historical"",Description=""Historical""}"
Hentai,23,", new() {Id=""12"",Name=""Hentai"",Description=""Hentai""}"
Isekai,24,", new() {Id=""12"",Name=""Isekai"",Description=""Isekai""}"
Military,25,", new() {Id=""12"",Name=""Military"",Description=""Military""}"
Mecha,26,", new() {Id=""12"",Name=""Mecha"",Description=""Mecha""}"
Music,27,", new() {Id=""12"",Name=""Music"",Description=""Music""}"
Parody,28,", new() {Id=""12"",Name=""Parody"",Description=""Parody""}"
Police,29,", new() {Id=""12"",Name=""Police"",Description=""Police""}"
Post-Apocalyptic,30,", new() {Id=""12"",Name=""Post-Apocalyptic"",Description=""Post-Apocalyptic""}"
Reverse Harem,31,", new() {Id=""12"",Name=""Reverse Harem"",Description=""Reverse Harem""}"
School,32,", new() {Id=""12"",Name=""School"",Description=""School""}"
Seinen,33,", new() {Id=""12"",Name=""Seinen"",Description=""Seinen""}"
Shoujo,34,", new() {Id=""12"",Name=""Shoujo"",Description=""Shoujo""}"
Shoujo-ai,35,", new() {Id=""12"",Name=""Shoujo-ai"",Description=""Shoujo-ai""}"
Shounen,36,", new() {Id=""12"",Name=""Shounen"",Description=""Shounen""}"
Shounen-ai,37,", new() {Id=""12"",Name=""Shounen-ai"",Description=""Shounen-ai""}"
Space,38,", new() {Id=""12"",Name=""Space"",Description=""Space""}"
Sports,39,", new() {Id=""12"",Name=""Sports"",Description=""Sports""}"
Super Power,40,", new() {Id=""12"",Name=""Super Power"",Description=""Super Power""}"
Tragedy,41,", new() {Id=""12"",Name=""Tragedy"",Description=""Tragedy""}"
Vampire,42,", new() {Id=""12"",Name=""Vampire"",Description=""Vampire""}"
Yuri,43,", new() {Id=""12"",Name=""Yuri"",Description=""Yuri""}"
Yaoi,44,", new() {Id=""12"",Name=""Yaoi"",Description=""Yaoi""}"
